1/1/2022,1102
1/2/2022,9236
1/3/2022,10643
1/4/2022,2376
1/5/2022,6815
1/6/2022,10394
1/7/2022,3055
1/10/2022,3750
1/11/2022,4181
1/12/2022,5452
1/13/2022,10745
1/14/2022,9896
1/18/2022,255
1/19/2022,9596
1/20/2022,1254
1/21/2022,2669
1/24/2022,1267
1/25/2022,1267
1/26/2022,1327
1/27/2022,10207
1/28/2022,5731
1/31/2022,8435
2/1/2022,640
2/2/2022,5624
2/3/2022,1062
2/4/2022,3946
2/7/2022,3798
2/8/2022,9381
2/9/2022,5945
2/10/2022,10612
2/11/2022,1970
2/14/2022,9035
2/15/2022,1376
2/16/2022,1919
2/17/2022,2868
2/18/2022,5847
2/22/2022,685
2/23/2022,10578
2/24/2022,3477
2/25/2022,3937
2/28/2022,5994
3/1/2022,6971
3/2/2022,3011
3/3/2022,4474
3/4/2022,4344
3/7/2022,8068
3/8/2022,6564
3/9/2022,2659
3/10/2022,4064
3/11/2022,1161
3/14/2022,6830
3/15/2022,5167
3/16/2022,5686
3/17/2022,5352
3/18/2022,898
3/21/2022,4316
3/22/2022,7699
3/23/2022,6406
3/24/2022,6466
3/25/2022,2802
3/28/2022,1239
3/29/2022,8162
3/30/2022,398
3/31/2022,9908
4/1/2022,8251
4/4/2022,8419
4/5/2022,6245
4/6/2022,8484
4/7/2022,9012
4/8/2022,6318
4/11/2022,853
4/12/2022,4031
4/13/2022,868
4/14/2022,8776
4/18/2022,10453
4/19/2022,1026
4/20/2022,1984
4/21/2022,8127
4/22/2022,5274
4/25/2022,6937
4/26/2022,1960
4/27/2022,9655
4/28/2022,1279
4/29/2022,9386
5/2/2022,6697
5/3/2022,6326
5/4/2022,2509
5/5/2022,7127
5/6/2022,7802
5/9/2022,8798
5/10/2022,6564
5/11/2022,7220
5/12/2022,10650
5/13/2022,3847
5/16/2022,7485
5/17/2022,10951
5/18/2022,3883
5/19/2022,9456
5/20/2022,4671
5/23/2022,2067
5/24/2022,6871
5/25/2022,1573
5/26/2022,8746
5/27/2022,7473
5/31/2022,4713
6/1/2022,1215
6/2/2022,8486
6/3/2022,6652
6/6/2022,4054
6/7/2022,10304
6/8/2022,5291
6/9/2022,2680
6/10/2022,9108
6/13/2022,6446
6/14/2022,1581
6/15/2022,7607
6/16/2022,2032
6/17/2022,7630
6/21/2022,1106
6/22/2022,3702
6/23/2022,986
6/24/2022,8602
6/27/2022,556
6/28/2022,2209
6/29/2022,3055
6/30/2022,886
7/1/2022,5813
7/2/2022,6513
7/3/2022,3154
7/4/2022,1534
7/5/2022,6271
7/6/2022,611
7/7/2022,4001
7/8/2022,6522
7/9/2022,3819
7/10/2022,8396
7/11/2022,2364
7/12/2022,9660
7/13/2022,2537
7/14/2022,2506
7/15/2022,9002
7/16/2022,8586
7/17/2022,8805
7/18/2022,552
7/19/2022,5802
7/20/2022,7825
7/21/2022,5610
7/22/2022,8169
7/23/2022,602
7/24/2022,5638
7/25/2022,2072
7/26/2022,3536
7/27/2022,5885
7/28/2022,9334
7/29/2022,6393
7/30/2022,9318
7/31/2022,6057
8/1/2022,5812
8/2/2022,5647
8/3/2022,4654
8/4/2022,1880
8/5/2022,634
8/6/2022,3084
8/7/2022,9606
8/8/2022,2287
8/9/2022,3032
8/10/2022,4030
8/11/2022,5627
8/12/2022,1314
8/13/2022,8489
8/14/2022,2083
8/15/2022,5520
8/16/2022,1829
8/17/2022,2890
8/18/2022,4533
8/19/2022,3225
8/20/2022,7405
8/21/2022,3985
8/22/2022,5521
8/23/2022,1127
8/24/2022,7109
8/25/2022,8083
8/26/2022,3615
8/27/2022,1475
8/28/2022,2896
8/29/2022,10523
8/30/2022,7108
8/31/2022,797
9/1/2022,8443
9/2/2022,169
9/3/2022,8755
9/4/2022,5761
9/5/2022,9862
9/6/2022,9032
9/7/2022,1659
9/8/2022,10944
9/9/2022,6878
9/10/2022,1253
9/11/2022,4690
9/12/2022,9934
9/13/2022,8820
9/14/2022,41
9/15/2022,9367
9/16/2022,1898
9/17/2022,3554
9/18/2022,10650
9/19/2022,3136
9/20/2022,3574
9/21/2022,9682
9/22/2022,3950
9/23/2022,691
9/24/2022,8247
9/25/2022,6677
